tournament_name,slug,tour_id,date_range,num_games,num_rounds,time_control_fide,time_control_pgn_top,designated_elite,source_url,pgn_export_url_pattern
GCT: Super Rapid & Blitz Poland 2026 | Blitz,gct-super-rapid--blitz-poland-2026--blitz,aOIR4BIM,2026-05-08 -- 2026-05-09,6,18,blitz,"5+2 (5), ? (1)",True,https://lichess.org/broadcast/gct-super-rapid--blitz-poland-2026--blitz/aOIR4BIM,https://lichess.org/api/study/{roundId}.pgn
WR Women's Chess Tour 2026 Asia - Online Qualifier,wr-womens-chess-tour-2026-asia-online-qualifier,Kivdql4k,2026-05-06 -- 2026-05-06,16,14,standard,"180+2 (14), 240+0 (2)",True,https://lichess.org/broadcast/wr-womens-chess-tour-2026-asia-online-qualifier/Kivdql4k,https://lichess.org/api/study/{roundId}.pgn
GCT: Super Rapid & Blitz Poland 2026 | Rapid,gct-super-rapid--blitz-poland-2026--rapid,80nj8Ryn,2026-05-05 -- 2026-05-07,45,9,rapid,25+10 (45),True,https://lichess.org/broadcast/gct-super-rapid--blitz-poland-2026--rapid/80nj8Ryn,https://lichess.org/api/study/{roundId}.pgn
Sardinia World Chess Festival 2026 | Open A,sardinia-world-chess-festival-2026--open-a,G3eiCPRh,2026-05-03 -- 2026-05-10,156,9,standard,"90+30 (155), ? (1)",True,https://lichess.org/broadcast/sardinia-world-chess-festival-2026--open-a/G3eiCPRh,https://lichess.org/api/study/{roundId}.pgn
TePe Sigeman & Co Chess Tournament 2026,tepe-sigeman--co-chess-tournament-2026,1X75mYa7,2026-05-01 -- 2026-05-07,25,7,standard,"90 minutes for 40 moves + 30 minutes for the rest of the game + 30 seconds per move from move one. (24), ? (1)",True,https://lichess.org/broadcast/tepe-sigeman--co-chess-tournament-2026/1X75mYa7,https://lichess.org/api/study/{roundId}.pgn
European Individual Chess Championship 2026 | Boards 1-66,european-individual-chess-championship-2026--boards-1-66,JWIgkNkS,2026-04-07 -- 2026-04-19,726,11,standard,90 + 30/40 + 30 (726),True,https://lichess.org/broadcast/european-individual-chess-championship-2026--boards-1-66/JWIgkNkS,https://lichess.org/api/study/{roundId}.pgn
FIDE Candidates 2026: Open,fide-candidates-2026-open,BLA70Vds,2026-03-29 -- 2026-04-15,56,14,standard,"120 minutes for the first 40 moves, followed by 30 minutes for the rest of the game with an increment of 30 seconds per move starting from move 41. (56)",True,https://lichess.org/broadcast/fide-candidates-2026-open/BLA70Vds,https://lichess.org/api/study/{roundId}.pgn
Queens' Online Chess Festival 2026 | Finals,queens-online-chess-festival-2026--finals,nwMnev3M,2026-03-29 -- 2026-03-29,28,7,standard,300+5 (28),True,https://lichess.org/broadcast/queens-online-chess-festival-2026--finals/nwMnev3M,https://lichess.org/api/study/{roundId}.pgn
Reykjavik Open 2026,reykjavik-open-2026,n2SqDcWh,2026-03-25 -- 2026-03-31,449,9,standard,90+30 sec + 15 min+30sec (449),True,https://lichess.org/broadcast/reykjavik-open-2026/n2SqDcWh,https://lichess.org/api/study/{roundId}.pgn
Queens' Online Chess Festival | Semi-Final,queens-online-chess-festival--semi-final,QOSjKJd1,2026-03-22 -- 2026-03-22,307,9,standard,180+2 (307),True,https://lichess.org/broadcast/queens-online-chess-festival--semi-final/QOSjKJd1,https://lichess.org/api/study/{roundId}.pgn
Hikaru Nakamura - Awonder Liang Training Match,hikaru-nakamura-awonder-liang-training-match,hX6pwe1V,2026-03-13 -- 2026-03-15,10,10,standard,? (10),True,https://lichess.org/broadcast/hikaru-nakamura-awonder-liang-training-match/hX6pwe1V,https://lichess.org/api/study/{roundId}.pgn
Prague International Chess Festival 2026 | Masters,prague-international-chess-festival-2026--masters,6u6ftFhp,2026-02-25 -- 2026-03-06,45,9,standard,40/5400+30:1800+30 (45),True,https://lichess.org/broadcast/prague-international-chess-festival-2026--masters/6u6ftFhp,https://lichess.org/api/study/{roundId}.pgn
2026 Saint Louis Masters,2026-saint-louis-masters,6UkdBX8x,2026-02-25 -- 2026-03-01,303,9,standard,90+30 (303),True,https://lichess.org/broadcast/2026-saint-louis-masters/6UkdBX8x,https://lichess.org/api/study/{roundId}.pgn
FIDE Freestyle Chess World Championship 2026 | Finals,fide-freestyle-chess-world-championship-2026--finals,uewg0GKW,2026-02-15 -- 2026-02-15,13,4,rapid,25+10 (13),True,https://lichess.org/broadcast/fide-freestyle-chess-world-championship-2026--finals/uewg0GKW,https://lichess.org/api/study/{roundId}.pgn
Chess.com Speed Chess Championship 2025 | Finals,chesscom-speed-chess-championship-2025--finals,mWEaMJtD,2026-02-08 -- 2026-02-08,53,2,blitz,"180+1 (18), 60+1 (18), 300+1 (17)",True,https://lichess.org/broadcast/chesscom-speed-chess-championship-2025--finals/mWEaMJtD,https://lichess.org/api/study/{roundId}.pgn
Tata Steel Chess 2026 | Masters,tata-steel-chess-2026--masters,3COxSfdj,2026-01-17 -- 2026-02-01,91,13,standard,? (91),True,https://lichess.org/broadcast/tata-steel-chess-2026--masters/3COxSfdj,https://lichess.org/api/study/{roundId}.pgn
German Bundesliga 2025/26,german-bundesliga-202526,Y9YjcDKG,2025-09-27 -- 2026-04-26,960,15,standard,"? (832), 90+30/30+30 (64), 90 min 40 moves + 30 min Rest + 30 sec per move (32)",True,https://lichess.org/broadcast/german-bundesliga-202526/Y9YjcDKG,https://lichess.org/api/study/{roundId}.pgn
Norway Chess 2025 | Open,norway-chess-2025--open,PcsMbQ9J,2025-05-26 -- 2025-06-06,45,20,standard,? (45),True,https://lichess.org/broadcast/norway-chess-2025--open/PcsMbQ9J,https://lichess.org/api/study/{roundId}.pgn
Tata Steel Chess 2025 | Masters,tata-steel-chess-2025--masters,jR0BiOwR,2025-01-18 -- 2025-02-02,94,14,standard,"? (87), 5400:40+30;1800+30 (7)",True,https://lichess.org/broadcast/tata-steel-chess-2025--masters/jR0BiOwR,https://lichess.org/api/study/{roundId}.pgn
